time,area0,area1,num0,num1
57,5600636,1151681,12,12
58,3705598,328855,12,12
59,3866849,65775,12,12
0,1218540,9453,12,12
1,1218705,11029,12,12
2,72578,25790,12,12
3,11434,272223,12,12
4,10583,323155,12,12
5,10572,2478148,12,12
6,10545,11006076,12,12
7,9810,21811801,12,12
8,9105,8859868,12,12
9,9154,21871803,12,12
10,9225,21707314,12,12
11,9042,17774077,12,12
12,17157,5088568,12,12
13,109212,7715861,12,12
14,765609,6944452,12,12
15,3867298,4865455,12,12
16,2224184,2457933,12,12
17,21906907,925015,12,12
18,26490228,1981705,12,12
19,19407795,408485,12,12
20,12504411,75791,12,12
21,11366872,13422,12,12
22,221400,26132,12,12
23,10572,282419,12,12
24,10572,1773790,12,12
25,10568,2476090,12,12
26,10714,11147716,12,12
27,10523,24971373,12,12
28,9255,12836229,12,12
29,9042,8498340,12,12
30,8858,9622192,12,12
31,8753,9622605,12,12
32,17352,7737810,12,12
33,113166,5756407,12,12
34,810087,5613063,12,12
35,4296036,4937193,12,12
36,3698035,10632851,12,12
37,26461104,10798512,12,12
38,21944765,2749774,12,12
39,19635485,135622,12,12
40,38337841,69569,12,12
41,34321051,13174,12,12
42,1635747,25907,12,12
43,10684,273574,12,12
44,10527,1917327,12,12
45,10519,2197628,12,12
46,5946,9807949,12,12
47,5854,24366784,12,12
48,10512,27123162,12,12
49,9672,21625058,12,12
50,9695,31425109,12,12
51,10178,32364570,12,12
52,21451,37637227,12,12
53,133213,31493921,12,12
54,958499,28857215,12,12
55,4890717,34170363,12,12
56,5622599,24298035,12,12
57,21522028,8794236,12,12
58,25157761,1487156,12,12
59,14742536,413921,12,12
0,16086183,81044,12,12
1,11695555,14037,12,12
2,133549,25487,12,12
3,10564,261660,12,12
4,10628,423064,12,12
5,10538,2890113,12,12
6,10609,12449256,12,12
7,10564,26566140,12,12
8,9780,26181125,12,12
9,9222,22370966,12,12
10,10253,28947070,12,12
11,9953,27289733,12,12
12,19479,13625959,12,12
13,132088,23852781,12,12
14,900529,35807370,12,12
15,4582798,31080923,12,12
16,4851738,9074000,12,12
17,8323810,14282261,12,12
18,3751095,4265863,12,12
19,8233433,920983,12,12
20,8782735,137434,12,12
21,2221776,20431,12,12
22,10641,21577,12,12
23,10553,174019,12,12
24,10677,799718,12,12
25,10572,4550041,12,12
26,10553,17483854,12,12
27,10635,21929313,12,12
28,10812,5432305,12,12
29,9983,21995769,12,12
30,10557,21703238,12,12
31,10534,24707366,12,12
32,8609,24458909,12,12
33,227222,18756667,12,12
34,1822802,14109649,12,12
35,7932313,8664956,12,12
36,9576301,14635624,12,12
37,17425329,10435052,12,12
38,5393443,2965433,12,12
39,7449842,531104,12,12
40,8741337,74996,12,12
41,3610811,14189,12,12
42,14194,24700,12,12
43,10422,259505,12,12
44,10662,419780,12,12
45,10519,2864994,12,12
46,10257,11362422,12,12
47,10579,28001766,12,12
